ubicacion_key,cod_distrito,distrito,localizacion,tipo_via,via,numero,cp
16813,4.0,SALAMANCA,"CALL. ALCALA, 204",,,204,
16814,18.0,VILLA DE VALLECAS,"AVDA. GRAN VIA DEL SURESTE, 9",,,9,
16815,15.0,CIUDAD LINEAL,CALL. BOLDANO / CALL. ZIGIA,,,38,
16816,2.0,ARGANZUELA,"CALL. MENDEZ ALVARO, 76",,,76,
16817,16.0,HORTALEZA,"AVDA. LOGROÑO, 14",,,14,
16818,11.0,CARABANCHEL,"CALL. JOAQUIN TURINA, 19B",,,19B,
16819,4.0,SALAMANCA,CALLE GOYA,,,20,
16820,15.0,CIUDAD LINEAL,PLAZA. REVERENCIA / CALL. ELFO,,,2,
16821,6.0,TETUÁN,CALL. POETA JOAN MARAGALL / AVDA. BRASIL,,,23,
16822,6.0,TETUÁN,CALL. BRAVO MURILLO / CALL. NARDO,,,359,
